ticker,comname,year,ESGCombinedScore,EnvironmentPillarScore,SocialPillarScore,GovernancePillarScore,ESGCControversiesScore,ESGEmissionsScore,ESGWorkforceScore,ESGHumanRightsScore,ESGCommunityScore,ESGManagementScore,ESGShareholdersScore,TobaccoProducerFlag,AlcoholProducerFlag,GamblingOperatorOrProducerFlag,MilitaryWeaponsOrPersonnelFlag,NuclearWeaponsFlag,ThermalCoalProducerFlag,OilAndGasProducerFlag,OilAndGasProcessingTransportationDistributionFlag
DELL,DELL TECHNOLOGIES INC.,2023,64.65074335999999,82.91428044,66.98568682,45.267146600000004,100.0,61.009174310000006,80.97345133,51.51515152,95.13274336,35.30652418,45.908323960000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DELL,DELL TECHNOLOGIES INC.,2024,51.62753841999999,80.64136748,66.23937211,76.82912343,30.76923077,58.63636364,77.63157895,50.98039216,96.05263158,90.47287899999999,27.35744089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DELL,DELL TECHNOLOGIES INC.,2025,52.41016667,80.49415686,66.75814615,76.71971422,32.14285714,58.256880730000006,80.08849558,51.960784309999994,95.13274336,91.33158508,24.0530303,,,,,,,,
DG,DOLLAR GENERAL CORPORATION,2020,44.4106923,12.07381987,45.04364956,71.78895877,85.71428571,8.666666670000001,27.52808989,47.14285714,60.6741573,82.67445343,83.36328241999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DG,DOLLAR GENERAL CORPORATION,2021,39.776331580000004,10.4574189,43.349327720000005,61.53365985,100.0,9.25925926,36.70212766,39.743589740000004,54.78723404,79.27110343,43.43128781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DG,DOLLAR GENERAL CORPORATION,2022,45.744484629999995,21.66475222,49.57394248,62.69902912999999,100.0,22.04301075,37.5,34.65909091,51.0,81.09570042,43.17614424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DG,DOLLAR GENERAL CORPORATION,2023,46.2258418,46.75565443,77.27219149999999,55.12727858,32.0,48.924731179999995,69.5,80.21978022,93.5,62.724971880000005,42.64623172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DG,DOLLAR GENERAL CORPORATION,2024,36.13303954,45.57454398,76.1036882,69.59033165000001,7.57575758,44.736842110000005,64.43298969,78.80434783,93.29896907,82.93463143000001,46.71766342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DG,DOLLAR GENERAL CORPORATION,2025,68.49192906,46.570201690000005,74.87879743,80.96196069,89.39393939,46.19565217,60.326086960000005,77.84090909,92.93478261,99.86888112,47.53787879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DG,VINCI SA,2020,82.24882457,93.94432624,73.98203476,77.26492153,100.0,94.78021978,87.68844220999999,73.44827586,97.73869347,76.35869565,82.88043478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DG,VINCI SA,2021,85.19816715,94.63265645999999,79.16518296,80.30199367,100.0,93.64035088,89.41908714,76.34408602,96.8879668,80.45685279,82.23350254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DG,VINCI SA,2022,47.7322069,94.09729297,79.8685884,85.53263128,8.82352941,92.15328467,90.19933555,77.11864407,96.84385382,89.64646465,77.77777778000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DG,VINCI SA,2023,76.82747824,93.21374077,79.98557415,87.92084447,66.66666667,90.24822695,85.21594684,76.171875,96.17940199,89.84375,89.32291667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DG,VINCI SA,2024,87.04525329,94.56227074,76.83774174,90.58511143,100.0,94.14715719,80.80645161,72.81021898,96.29032258,94.47368421,86.84210526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DGX,QUEST DIAGNOSTICS INCORPORATED,2020,68.59765502,60.707070709999996,78.51678432,60.63999201,100.0,60.79545455,64.59854014999999,58.06451613,95.98540145999999,61.560347410000006,63.77657981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DGX,QUEST DIAGNOSTICS INCORPORATED,2021,76.72180451,70.63037331999999,82.4243195,72.92450212,100.0,63.76146789,75.96153846,57.058823530000005,99.03846154,76.33246903,59.56496687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
